FECHA_ANOTACION;VALOR;DESTINO_ECONOMICO;AREA_TERRENO;AREA_CONSTRUIDA;AVALUO; HAB; BAÑOS; LOCAL; PISOS;MAX_PUNT;POINT_X;POINT_Y;Latitud;Longitud;Latitud.1;Longitud.1;UTM waypoint Garmin;DISTANCIA - CBD (San Pio) metros;Estrato/Hacienda
2022-03-01 00:00:00;209318876;A;000000000095;000181;209312000;4;2;0;2;40;1373001.9862;10794922.409;7.123853229106559;-73.11828897378942;"-7º -7' -25,872"" S";"73º 7' 5,84"" W";17 N 1373002 10794922;1044.65100304;4
2022-05-03 00:00:00;208619999;C;000000000007;000038;94253000;0;1;1;1;70;1372977.7971;10794755.4012;7.122360575408783;-73.11853167098599;"-7º -7' -20,498"" S";"73º 7' 6,714"" W";17 N 1372978 10794755;985.481083864;4
2022-08-11 00:00:00;150488037;A;000000000008;000042;79233000;3;2;0;1;71;1372982.2036;10794746.3441;7.1222787469060895;-73.11849353903105;"-7º -7' -20,203"" S";"73º 7' 6,577"" W";17 N 1372982 10794746;977.766364645;4
2022-09-19 00:00:00;136646100;A;000000000007;000039;73502000;3;2;0;2;71;1372980.1853;10794751.2411;7.1223229339899055;-73.11851088926139;"-7º -7' -20,363"" S";"73º 7' 6,639"" W";17 N 1372980 10794751;981.599714246;4
2021-07-08 00:00:00;102067334;A;000000000006;000030;57190000;3;2;0;2;71;1372975.9068;10794754.9763;7.122357059065707;-73.11854869252124;"-7º -7' -20,485"" S";"73º 7' 6,775"" W";17 N 1372976 10794755;987.031048875;4
2022-02-10 00:00:00;133982022;A;000000000007;000039;73502000;3;2;0;3;71;1372980.1853;10794751.2411;7.1223229339899055;-73.11851088926139;"-7º -7' -20,363"" S";"73º 7' 6,639"" W";17 N 1372980 10794751;981.599714246;4
2021-03-29 00:00:00;96695369;A;000000000006;000030;57190000;3;2;0;3;71;1372975.9068;10794754.9763;7.122357059065707;-73.11854869252124;"-7º -7' -20,485"" S";"73º 7' 6,775"" W";17 N 1372976 10794755;987.031048875;4
2021-04-27 00:00:00;161158950;A;000000000009;000048;91219000;3;2;0;3;71;1372972.7275;10794752.9554;7.122339440947414;-73.11857752222005;"-7º -7' -20,422"" S";"73º 7' 6,879"" W";17 N 1372973 10794753;989.109287079;4
2021-05-14 00:00:00;139671090;A;000000000007;000036;67675000;3;2;0;3;71;1372983.3217;10794741.5701;7.1222358003409205;-73.11848424470737;"-7º -7' -20,049"" S";"73º 7' 6,543"" W";17 N 1372983 10794742;974.820733233;4
2021-12-14 00:00:00;124582314;A;000000000007;000034;65561000;3;2;0;4;71;1372980.4139;10794750.1914;7.122313493614941;-73.11850900033905;"-7º -7' -20,329"" S";"73º 7' 6,632"" W";17 N 1372980 10794750;980.963227389;4
2021-11-05 00:00:00;262347001;A;000000000015;000075;150183000;3;2;0;4;73;1372983.1375;10794733.3648;7.1221623099284175;-73.1184871604325;"-7º -7' -19,784"" S";"73º 7' 6,554"" W";17 N 1372983 10794733;971.73052323;4
2022-10-11 00:00:00;100137599;A;000000000006;000032;60343000;3;2;0;5;71;1372980.4139;10794750.1914;7.122313493614941;-73.11850900033905;"-7º -7' -20,329"" S";"73º 7' 6,632"" W";17 N 1372980 10794750;980.963227389;4
2021-03-31 00:00:00;257080757;A;000000000015;000080;160089000;3;2;0;5;73;1372974.2103;10794753.5989;7.122344978601027;-73.11856412232504;"-7º -7' -20,442"" S";"73º 7' 6,831"" W";17 N 1372974 10794754;988.016843037;4
2021-02-05 00:00:00;112790851;A;000000000007;000034;65561000;3;2;0;6;71;1372980.4139;10794750.1914;7.122313493614941;-73.11850900033905;"-7º -7' -20,329"" S";"73º 7' 6,632"" W";17 N 1372980 10794750;980.963227389;4
2021-03-25 00:00:00;167605308;A;000000000008;000043;82067000;3;2;0;6;71;1372972.7938;10794753.0638;7.12234040200509;-73.11857691081349;"-7º -7' -20,425"" S";"73º 7' 6,877"" W";17 N 1372973 10794753;989.092786466;4
2021-08-09 00:00:00;124006440;A;000000000007;000034;65561000;3;2;0;7;71;1372980.4139;10794750.1914;7.122313493614941;-73.11850900033905;"-7º -7' -20,329"" S";"73º 7' 6,632"" W";17 N 1372980 10794750;980.963227389;4
2022-06-14 00:00:00;124128899;A;000000000006;000033;63002000;3;2;0;7;71;1372983.2184;10794741.5728;7.1222358404197506;-73.11848517089871;"-7º -7' -20,049"" S";"73º 7' 6,547"" W";17 N 1372983 10794742;974.916456403;4
2022-08-22 00:00:00;269311730;A;000000000015;000080;160089000;3;2;0;8;73;1372974.2103;10794753.5989;7.122344978601027;-73.11856412232504;"-7º -7' -20,442"" S";"73º 7' 6,831"" W";17 N 1372974 10794754;988.016843037;4
2022-04-29 00:00:00;226352699;A;000000000014;000070;140079000;3;2;0;8;73;1372983.1375;10794733.3648;7.1221623099284175;-73.1184871604325;"-7º -7' -19,784"" S";"73º 7' 6,554"" W";17 N 1372983 10794733;971.73052323;4
